IDCLIENTE,TELEFONO
1,50683766048
2,50683766048
3,50683766048
4,50683766048
5,50683766048
6,50683766048
7,50683766048
8,50683766048
9,50683766048
10,50683766048
11,50683766048
12,50683766048
13,50683766048
14,50683766048
15,50683766048
16,50683766048
17,50683766048
18,50683766048
19,50683766048
20,50683766048
21,50683766048
22,50683766048
23,50683766048
24,50683766048
25,50683766048
26,50683766048
27,50683766048
28,50683766048
29,50683766048
30,50683766048
31,50683766048
32,50683766048
33,50683766048
34,50683766048
35,50683766048
36,50683766048
37,50683766048
38,50683766048
39,50683766048
40,50683766048
41,50683766048
42,50683766048
43,50683766048
44,50683766048
45,50683766048
46,50683766048
47,50683766048
48,50683766048
49,50683766048
50,50683766048
51,50683766048
52,50683766048
53,50683766048
54,50683766048
55,50683766048
56,50683766048
57,50683766048
58,50683766048
59,50683766048
60,50683766048
61,50683766048
62,50683766048
63,50683766048
64,50683766048
65,50683766048
66,50683766048
67,50683766048
68,50683766048
69,50683766048
70,50683766048
71,50683766048
72,50683766048
73,50683766048
74,50683766048
75,50683766048
76,50683766048
77,50683766048
78,50683766048
79,50683766048
80,50683766048
81,50683766048
82,50683766048
83,50683766048
84,50683766048
85,50683766048
86,50683766048
87,50683766048
88,50683766048
89,50683766048
90,50683766048
91,50683766048
92,50683766048
93,50683766048
94,50683766048
95,50683766048
96,50683766048
97,50683766048
98,50683766048
99,50683766048
100,50683766048
101,50683766048
102,50683766048
103,50683766048
104,50683766048
105,50683766048
106,50683766048
107,50683766048
108,50683766048
109,50683766048
110,50683766048
111,50683766048
112,50683766048
113,50683766048
114,50683766048
115,50683766048
116,50683766048
117,50683766048
118,50683766048
119,50683766048
120,50683766048
121,50683766048
122,50683766048
123,50683766048
124,50683766048
125,50683766048
126,50683766048
127,50683766048
128,50683766048
129,50683766048
130,50683766048
131,50683766048
132,50683766048
133,50683766048
134,50683766048
135,50683766048
136,50683766048
137,50683766048
138,50683766048
139,50683766048
140,50683766048
141,50683766048
142,50683766048
143,50683766048
144,50683766048
145,50683766048
146,50683766048
147,50683766048
148,50683766048
149,50683766048
150,50683766048
151,50683766048
152,50683766048
153,50683766048
154,50683766048
155,50683766048
156,50683766048
157,50683766048
158,50683766048
159,50683766048
160,50683766048
161,50683766048
162,50683766048
163,50683766048
164,50683766048
165,50683766048
166,50683766048
167,50683766048
168,50683766048
169,50683766048
170,50683766048
171,50683766048
172,50683766048
173,50683766048
174,50683766048
175,50683766048
176,50683766048
177,50683766048
178,50683766048
179,50683766048
180,50683766048
181,50683766048
182,50683766048
183,50683766048
184,50683766048
185,50683766048
186,50683766048
187,50683766048
188,50683766048
189,50683766048
190,50683766048
191,50683766048
192,50683766048
193,50683766048
194,50683766048
195,50683766048
196,50683766048
197,50683766048
198,50683766048
199,50683766048
200,50683766048
201,50683766048
202,50683766048
203,50683766048
204,50683766048
205,50683766048
206,50683766048
207,50683766048
208,50683766048
209,50683766048
210,50683766048
211,50683766048
212,50683766048
213,50683766048
214,50683766048
215,50683766048
216,50683766048
217,50683766048
218,50683766048
219,50683766048
220,50683766048
221,50683766048
222,50683766048
223,50683766048
224,50683766048
225,50683766048
226,50683766048
227,50683766048
228,50683766048
229,50683766048
230,50683766048
231,50683766048
232,50683766048
233,50683766048
234,50683766048
235,50683766048
236,50683766048
237,50683766048
238,50683766048
239,50683766048
240,50683766048
241,50683766048
242,50683766048
243,50683766048
244,50683766048
245,50683766048
246,50683766048
247,50683766048
248,50683766048
249,50683766048
250,50683766048
251,50683766048
252,50683766048
253,50683766048
254,50683766048
255,50683766048
256,50683766048
257,50683766048
258,50683766048
259,50683766048
260,50683766048
261,50683766048
262,50683766048
263,50683766048
264,50683766048
265,50683766048
266,50683766048
267,50683766048
268,50683766048
269,50683766048
270,50683766048
271,50683766048
272,50683766048
273,50683766048
274,50683766048
275,50683766048
276,50683766048
277,50683766048
278,50683766048
279,50683766048
280,50683766048
281,50683766048
282,50683766048
283,50683766048
284,50683766048
285,50683766048
286,50683766048
287,50683766048
288,50683766048
289,50683766048
290,50683766048
291,50683766048
292,50683766048
293,50683766048
294,50683766048
295,50683766048
296,50683766048
297,50683766048
298,50683766048
299,50683766048
300,50683766048
301,50683766048
302,50683766048
303,50683766048
304,50683766048
305,50683766048
306,50683766048
307,50683766048
308,50683766048
309,50683766048
310,50683766048
311,50683766048
312,50683766048
313,50683766048
314,50683766048
315,50683766048
316,50683766048
317,50683766048
318,50683766048
319,50683766048
320,50683766048
321,50683766048
322,50683766048
323,50683766048
324,50683766048
325,50683766048
326,50683766048
327,50683766048
328,50683766048
329,50683766048
330,50683766048
331,50683766048
332,50683766048
333,50683766048
334,50683766048
335,50683766048
336,50683766048
337,50683766048
338,50683766048
339,50683766048
340,50683766048
341,50683766048
342,50683766048
343,50683766048
344,50683766048
345,50683766048
346,50683766048
347,50683766048
348,50683766048
349,50683766048
350,50683766048
351,50683766048
352,50683766048
353,50683766048
354,50683766048
355,50683766048
356,50683766048
357,50683766048
358,50683766048
359,50683766048
360,50683766048
361,50683766048
362,50683766048
363,50683766048
364,50683766048
365,50683766048
366,50683766048
367,50683766048
368,50683766048
369,50683766048
370,50683766048
371,50683766048
372,50683766048
373,50683766048
374,50683766048
375,50683766048
376,50683766048
377,50683766048
378,50683766048
379,50683766048
380,50683766048
381,50683766048
382,50683766048
383,50683766048
384,50683766048
385,50683766048
386,50683766048
387,50683766048
388,50683766048
389,50683766048
390,50683766048
391,50683766048
392,50683766048
393,50683766048
394,50683766048
395,50683766048
396,50683766048
397,50683766048
398,50683766048
399,50683766048
400,50683766048
401,50683766048
402,50683766048
403,50683766048
404,50683766048
405,50683766048
406,50683766048
407,50683766048
408,50683766048
409,50683766048
410,50683766048
411,50683766048
412,50683766048
413,50683766048
414,50683766048
415,50683766048
416,50683766048
417,50683766048
418,50683766048
419,50683766048
420,50683766048
421,50683766048
422,50683766048
423,50683766048
424,50683766048
425,50683766048
426,50683766048
427,50683766048
428,50683766048
429,50683766048
430,50683766048
431,50683766048
432,50683766048
433,50683766048
434,50683766048
435,50683766048
436,50683766048
437,50683766048
438,50683766048
439,50683766048
440,50683766048
441,50683766048
442,50683766048
443,50683766048
444,50683766048
445,50683766048
446,50683766048
447,50683766048
448,50683766048
449,50683766048
450,50683766048
451,50683766048
452,50683766048
453,50683766048
454,50683766048
455,50683766048
456,50683766048
457,50683766048
458,50683766048
459,50683766048
460,50683766048
461,50683766048
462,50683766048
463,50683766048
464,50683766048
465,50683766048
466,50683766048
467,50683766048
468,50683766048
469,50683766048
470,50683766048
471,50683766048
472,50683766048
473,50683766048
474,50683766048
475,50683766048
476,50683766048
477,50683766048
478,50683766048
479,50683766048
480,50683766048
481,50683766048
482,50683766048
483,50683766048
484,50683766048
485,50683766048
486,50683766048
487,50683766048
488,50683766048
489,50683766048
